地域コード,地域,年,人口,age,年齢
132144,国分寺市,,1258,17,17歳
132144,国分寺市,,1269,16,16歳
132144,国分寺市,,1204,15,15歳
132152,国立市,,512,27,27歳
132152,国立市,,480,26,26歳
132152,国立市,,411,25,25歳
132152,国立市,,598,24,24歳
132152,国立市,,480,23,23歳
132152,国立市,,590,22,22歳
132152,国立市,,531,21,21歳
132152,国立市,,559,20,20歳
132152,国立市,,507,19,19歳
132152,国立市,,571,18,18歳
132152,国立市,,410,17,17歳
132152,国立市,,475,16,16歳
132152,国立市,,293,15,15歳
132187,福生市,,236,27,27歳
132187,福生市,,319,26,26歳
132187,福生市,,228,25,25歳
132187,福生市,,406,24,24歳
132187,福生市,,306,23,23歳
132187,福生市,,272,22,22歳
132187,福生市,,358,21,21歳
132187,福生市,,318,20,20歳
132187,福生市,,301,19,19歳
132187,福生市,,295,18,18歳
132187,福生市,,228,17,17歳
132187,福生市,,275,16,16歳
132187,福生市,,150,15,15歳
132195,狛江市,,618,27,27歳
132195,狛江市,,660,26,26歳
132195,狛江市,,523,25,25歳
132195,狛江市,,747,24,24歳
132195,狛江市,,710,23,23歳
132195,狛江市,,921,22,22歳
132195,狛江市,,878,21,21歳
132195,狛江市,,899,20,20歳
132195,狛江市,,889,19,19歳
132195,狛江市,,804,18,18歳
132195,狛江市,,932,17,17歳
132195,狛江市,,626,16,16歳
132195,狛江市,,543,15,15歳
132209,東大和市,,661,27,27歳
132209,東大和市,,914,26,26歳
132209,東大和市,,634,25,25歳
132209,東大和市,,815,24,24歳
132209,東大和市,,660,23,23歳
132209,東大和市,,595,22,22歳
132209,東大和市,,751,21,21歳
132209,東大和市,,614,20,20歳
132209,東大和市,,604,19,19歳
132209,東大和市,,501,18,18歳
132209,東大和市,,313,17,17歳
132209,東大和市,,432,16,16歳
132209,東大和市,,244,15,15歳
132217,清瀬市,,500,27,27歳
132217,清瀬市,,574,26,26歳
132217,清瀬市,,478,25,25歳
132217,清瀬市,,541,24,24歳
132217,清瀬市,,563,23,23歳
132217,清瀬市,,421,22,22歳
132217,清瀬市,,509,21,21歳
132217,清瀬市,,469,20,20歳
132217,清瀬市,,378,19,19歳
132217,清瀬市,,375,18,18歳
132217,清瀬市,,223,17,17歳
132217,清瀬市,,377,16,16歳
132217,清瀬市,,337,15,15歳
132225,東久留米市,,603,27,27歳
132225,東久留米市,,788,26,26歳
132225,東久留米市,,606,25,25歳
132225,東久留米市,,937,24,24歳
132225,東久留米市,,830,23,23歳
132225,東久留米市,,875,22,22歳
132225,東久留米市,,846,21,21歳
132225,東久留米市,,733,20,20歳
132225,東久留米市,,670,19,19歳
132225,東久留米市,,717,18,18歳
132225,東久留米市,,647,17,17歳
132225,東久留米市,,563,16,16歳
132225,東久留米市,,669,15,15歳
132233,武蔵村山市,,788,27,27歳
132233,武蔵村山市,,684,26,26歳
132233,武蔵村山市,,607,25,25歳
132233,武蔵村山市,,550,24,24歳
132233,武蔵村山市,,398,23,23歳
132233,武蔵村山市,,411,22,22歳
132233,武蔵村山市,,404,21,21歳
132233,武蔵村山市,,311,20,20歳
132233,武蔵村山市,,370,19,19歳
132233,武蔵村山市,,430,18,18歳
132233,武蔵村山市,,238,17,17歳
132233,武蔵村山市,,157,16,16歳
132233,武蔵村山市,,172,15,15歳
132241,多摩市,,1213,27,27歳
132241,多摩市,,978,26,26歳
132241,多摩市,,865,25,25歳
132241,多摩市,,960,24,24歳
132241,多摩市,,1401,23,23歳
132241,多摩市,,1018,22,22歳
132241,多摩市,,941,21,21歳
132241,多摩市,,819,20,20歳
132241,多摩市,,907,19,19歳
132241,多摩市,,678,18,18歳
132241,多摩市,,709,17,17歳
132241,多摩市,,455,16,16歳
132241,多摩市,,153,15,15歳
132250,稲城市,,809,27,27歳
132250,稲城市,,1165,26,26歳
132250,稲城市,,928,25,25歳
132250,稲城市,,902,24,24歳
132250,稲城市,,815,23,23歳
132250,稲城市,,604,22,22歳
132250,稲城市,,784,21,21歳
132250,稲城市,,1035,20,20歳
132250,稲城市,,787,19,19歳
132250,稲城市,,635,18,18歳
132250,稲城市,,746,17,17歳
132250,稲城市,,656,16,16歳
132250,稲城市,,535,15,15歳
132276,羽村市,,494,27,27歳
132276,羽村市,,404,26,26歳
132276,羽村市,,307,25,25歳
132276,羽村市,,427,24,24歳
132276,羽村市,,298,23,23歳
132276,羽村市,,293,22,22歳
132276,羽村市,,179,21,21歳
132276,羽村市,,319,20,20歳
132276,羽村市,,214,19,19歳
132276,羽村市,,201,18,18歳
132276,羽村市,,208,17,17歳
132276,羽村市,,88,16,16歳
132276,羽村市,,147,15,15歳
132284,あきる野市,,642,27,27歳
132284,あきる野市,,598,26,26歳
132284,あきる野市,,575,25,25歳
132284,あきる野市,,500,24,24歳
132284,あきる野市,,486,23,23歳
132284,あきる野市,,388,22,22歳
132284,あきる野市,,398,21,21歳
132284,あきる野市,,268,20,20歳
132284,あきる野市,,311,19,19歳
132284,あきる野市,,406,18,18歳
132284,あきる野市,,204,17,17歳
132284,あきる野市,,217,16,16歳
132284,あきる野市,,193,15,15歳
132292,西東京市,,1549,27,27歳
132292,西東京市,,2097,26,26歳
132292,西東京市,,1782,25,25歳
132292,西東京市,,1749,24,24歳
132292,西東京市,,1238,23,23歳
132292,西東京市,,1492,22,22歳
132292,西東京市,,1524,21,21歳
132292,西東京市,,1524,20,20歳
132292,西東京市,,1529,19,19歳
132292,西東京市,,1654,18,18歳
132292,西東京市,,1615,17,17歳
132292,西東京市,,1514,16,16歳
132292,西東京市,,1261,15,15歳
133035,瑞穂町,,135,27,27歳
133035,瑞穂町,,119,26,26歳
133035,瑞穂町,,99,25,25歳
133035,瑞穂町,,122,24,24歳
133035,瑞穂町,,143,23,23歳
133035,瑞穂町,,144,22,22歳
133035,瑞穂町,,112,21,21歳
133035,瑞穂町,,102,20,20歳
133035,瑞穂町,,83,19,19歳
133035,瑞穂町,,83,18,18歳
133035,瑞穂町,,-32,17,17歳
