年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,得票率%,略称党名,党順序,自治体コード
2011,品川,当,3458.61,石田　秀男,,51,男,自民,元,,2.874,自民,1,131091
2011,品川,当,3070.972,鈴木　真澄,,58,男,自民,現,,2.552,自民,1,131091
2011,品川,当,3019,松沢　利行,,65,男,自民,現,,2.508,自民,1,131091
2011,品川,当,2964,沢田　洋和,,30,男,自民,現,,2.463,自民,1,131091
2011,品川,当,2922.014,伊藤　昌宏,,49,男,自民,現,,2.428,自民,1,131091
2011,品川,当,2422,本多　健信,,44,男,自民,現,,2.012,自民,1,131091
2011,品川,当,2380,大沢　真一,,52,男,自民,現,,1.977,自民,1,131091
2011,品川,当,2329,渡辺　裕一,,38,男,自民,現,,1.935,自民,1,131091
2011,品川,当,2248,山内　晃,,42,男,自民,現,,1.868,自民,1,131091
2011,品川,当,2033,須藤　安通,,68,男,自民,現,,1.689,自民,1,131091
2011,品川,当,1774,原　浩三,,54,男,自民,現,,1.474,自民,1,131091
2011,品川,落,1618,林　宏,,66,男,自民,現,,1.344,自民,1,131091
2011,品川,落,1588.36,吉田　征四郎,,55,男,自民,新,,1.32,自民,1,131091
2019,品川,当,3641.546,西村　直子,,38,女,自民,新,,2.844,自民,1,131091
2019,品川,当,2960.482,石田　秀男,,59,男,自民,現,,2.312,自民,1,131091
2019,品川,当,2911.596,高橋　伸明,,54,男,自民,現,,2.274,自民,1,131091
2019,品川,当,2910.63,鈴木　真澄,,66,男,自民,現,,2.273,自民,1,131091
2019,品川,当,2896,芹沢　裕次郎,,29,男,自民,現,,2.262,自民,1,131091
2019,品川,当,2291,渡辺　裕一,,45,男,自民,現,,1.789,自民,1,131091
2019,品川,当,2203,本多　健信,,52,男,自民,現,,1.72,自民,1,131091
2019,品川,当,2200,湯沢　一貴,,42,男,自民,新,,1.718,自民,1,131091
2019,品川,当,2188,横山　由香理,,38,女,自民,現,,1.709,自民,1,131091
2019,品川,当,2109,渡部　茂,,52,男,自民,現,,1.647,自民,1,131091
2019,品川,当,1932,大沢　真一,,60,男,自民,現,,1.509,自民,1,131091
2019,品川,当,1900,小芝　新,,37,男,自民,新,,1.484,自民,1,131091
2019,品川,落,1843.501,伊藤　昌宏,,57,男,自民,現,,1.44,自民,1,131091
2015,品川,当,3572.621,鈴木　ひろ子,,57,女,共産,元,,2.946,共産,5,131091
2015,品川,当,2850,中塚　亮,,35,男,共産,現,,2.35,共産,5,131091
2015,品川,当,2737.607,石田　知広,,35,女,共産,新,,2.257,共産,5,131091
2015,品川,当,2239,宮崎　克俊,,55,男,共産,現,,1.846,共産,5,131091
2015,品川,当,2188,南　恵子,,62,女,共産,現,,1.804,共産,5,131091
2015,品川,当,2046,飯沼　雅子,,61,女,共産,現,,1.687,共産,5,131091
2015,品川,落,1669,安藤　泰作,,37,男,共産,現,,1.376,共産,5,131091
2011,品川,当,3572.621,鈴木　ひろ子,,57,女,共産,元,,2.968,共産,5,131091
2011,品川,当,2850,中塚　亮,,35,男,共産,現,,2.368,共産,5,131091
2011,品川,当,2737.607,石田　知広,,35,女,共産,新,,2.275,共産,5,131091
